h,"0,4","0,5","0,6","0,7","0,8","0,9","1,0","1,1","1,2"
"0,5","$25,65","$26,57","$28,46","$30,36","$32,25","$34,14","$36,04","$37,94","$39,84"
"0,6","$25,80","$27,70","$29,60","$31,49","$33,40","$35,28","$37,18","$39,08","$40,98"
"0,7","$26,94","$28,84","$30,73","$32,63","$34,53","$36,43","$38,32","$40,22","$42,11"
"0,8","$27,70","$29,60","$31,49","$33,40","$35,66","$37,56","$39,46","$41,35","$43,25"
"0,9","$28,84","$30,73","$32,63","$34,53","$36,43","$38,32","$40,59","$42,49","$44,39"
"1,0","$29,98","$31,87","$33,77","$35,66","$37,56","$39,46","$41,35","$43,64","$45,52"
"1,1","$31,34","$33,29","$35,60","$38,28","$39,47","$41,41","$43,35","$44,77","$46,67"
"1,2","$33,15","$35,46","$37,45","$39,46","$40,64","$42,57","$44,51","$45,92","$47,80"
"1,3","$34,26","$36,66","$38,65","$40,63","$42,62","$44,60","$46,56","$47,05","$48,95"
"1,4","$35,46","$37,45","$39,84","$41,83","$43,39","$45,77","$46,84","$47,80","$50,09"
"1,5","$35,65","$38,39","$41,23","$42,89","$44,93","$46,47","$48,47","$49,48","$51,83"
